"","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre"
"932",2000-02-04,"Scream 3",40000000,89138076,161838076,"Miramax","R","Horror"
"933",1990-05-24,"Back to the Future Part III",40000000,88055283,244088654,"Universal","PG","Adventure"
"934",2014-11-14,"Dumb and Dumber To",40000000,86208010,156553592,"Universal","PG-13","Comedy"
"935",1992-11-13,"Bram Stoker's Dracula",40000000,82522790,215862692,"Sony Pictures","R","Horror"
"936",2006-02-17,"Eight Below",40000000,81612565,120455994,"Walt Disney","PG","Adventure"
"937",1999-12-24,"The Talented Mr. Ripley",40000000,81292135,128792135,"Paramount Pictures","R","Drama"
"938",2015-09-25,"The Intern",40000000,75764672,197232734,"Warner Bros","PG-13","Comedy"
"939",1992-09-25,"The Last of the Mohicans",40000000,75505856,75505856,"20th Century Fox","R","Action"
"940",2004-10-29,"Ray",40000000,75305995,124823094,"Universal","PG-13","Drama"
"941",2005-04-01,"Sin City",40000000,74103820,158527918,"Miramax Dimension","R","Action"
"942",2009-03-20,"I Love You, Man",40000000,72013010,92302502,"Paramount Pictures","R","Comedy"
"943",1991-12-20,"JFK",40000000,70405498,205400000,"Warner Bros","R","Drama"
"944",2006-01-27,"Big Momma's House 2",40000000,70165972,137047376,"20th Century Fox","PG-13","Comedy"
"945",2016-11-04,"Hacksaw Ridge",40000000,67209615,168940583,"Lionsgate","R","Drama"
"946",2001-03-02,"The Mexican",40000000,66808615,145238250,"Dreamworks SKG","R","Action"
"947",2009-08-28,"The Final Destination",40000000,66477700,187384627,"Warner Bros","R","Horror"
"948",2009-04-17,"17 Again",40000000,64167069,139474906,"Warner Bros","PG-13","Comedy"
"949",2010-06-04,"Get Him to the Greek",40000000,61153526,91455875,"Universal","R","Comedy"
"950",2003-11-21,"Gothika",40000000,59588068,141484812,"Warner Bros","R","Horror"
"951",2001-11-30,"Behind Enemy Lines",40000000,58855732,58855732,"20th Century Fox","PG-13","Action"
"952",2006-08-25,"Invincible",40000000,57806952,58501127,"Walt Disney","PG","Drama"
"953",2013-02-15,"Escape From Planet Earth",40000000,57012977,74156610,"Weinstein Co","PG","Adventure"
"954",1998-07-10,"Small Soldiers",40000000,55143823,71743823,"Dreamworks SKG","PG-13","Adventure"
"955",1997-07-31,"Spawn",40000000,54979992,87949859,"New Line","PG-13","Action"
"956",2014-11-26,"Horrible Bosses 2",40000000,54445357,105945357,"Warner Bros","R","Comedy"
"957",2002-01-25,"The Count of Monte Cristo",40000000,54228104,75389090,"Walt Disney","PG-13","Drama"
"958",2006-06-16,"The Lake House",40000000,52330111,114830111,"Warner Bros","PG","Drama"
"959",2010-07-09,"Predators",40000000,52000688,127234389,"20th Century Fox","R","Action"
"960",2012-08-15,"The Odd Life of Timothy Green",40000000,51853450,55249159,"Walt Disney","PG","Drama"
