"","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre"
"1",2007-06-22,"Evan Almighty",175000000,100289690,174131329,"Universal","PG","Comedy"
"2",1995-07-28,"Waterworld",175000000,88246220,264246220,"Universal","PG-13","Action"
"3",2017-05-12,"King Arthur: Legend of the Sword",175000000,39175066,139950708,"Warner Bros","PG-13","Adventure"
"4",2013-12-25,"47 Ronin",175000000,38362475,151716815,"Universal","PG-13","Action"
"5",2018-06-22,"Jurassic World: Fallen Kingdom",170000000,416769345,1304866322,"Universal","PG-13","Action"
"6",2014-08-01,"Guardians of the Galaxy",170000000,333172112,771051335,"Walt Disney","PG-13","Action"
"7",2010-05-07,"Iron Man 2",170000000,312433331,621156389,"Paramount Pictures","PG-13","Action"
"8",2014-04-04,"Captain America: The Winter Soldier",170000000,259746958,714401889,"Walt Disney","PG-13","Action"
"9",2014-07-11,"Dawn of the Planet of the Apes",170000000,208545589,710644566,"20th Century Fox","PG-13","Adventure"
"10",2004-11-10,"The Polar Express",170000000,186493587,310634169,"Warner Bros","G","Adventure"
"11",2012-06-01,"Snow White and the Huntsman",170000000,155136755,401021746,"Universal","PG-13","Adventure"
"12",2003-07-01,"Terminator 3: Rise of the Machines",170000000,150358296,433058296,"Warner Bros","R","Action"
"13",2004-05-07,"Van Helsing",170000000,120150546,300150546,"Universal","PG-13","Action"
"14",2015-05-22,"Tomorrowland",170000000,93436322,207283457,"Walt Disney","PG","Adventure"
"15",2016-05-27,"Alice Through the Looking Glass",170000000,77042381,276934087,"Walt Disney","PG","Adventure"
"16",2010-05-21,"Shrek Forever After",165000000,238736787,756244673,"Paramount Pictures","PG","Adventure"
"17",2016-11-04,"Doctor Strange",165000000,232641920,676486457,"Walt Disney","PG-13","Action"
"18",2014-11-07,"Big Hero 6",165000000,222527828,652127828,"Walt Disney","PG","Adventure"
"19",2010-03-26,"How to Train Your Dragon",165000000,217581232,494870992,"Paramount Pictures","PG","Adventure"
"20",2012-11-02,"Wreck-It Ralph",165000000,189412677,496511521,"Walt Disney","PG","Adventure"
"21",2014-11-05,"Interstellar",165000000,188017894,667752422,"Paramount Pictures","PG-13","Adventure"
"22",2016-06-24,"Independence Day: Resurgence",165000000,103144286,384413934,"20th Century Fox","PG-13","Action"
"23",2011-07-29,"Cowboys and Aliens",163000000,100368560,176038324,"Universal","PG-13","Action"
"24",2007-05-17,"Shrek the Third",160000000,322719944,807330936,"Paramount Pictures","PG","Adventure"
"25",2013-05-24,"Fast and Furious 6",160000000,238679850,789300444,"Universal","PG-13","Action"
"26",2011-06-03,"X-Men: First Class",160000000,146408305,355408305,"20th Century Fox","PG-13","Action"
"27",2008-12-25,"The Curious Case of Benjamin Button",160000000,127509326,329631958,"Paramount Pictures","PG-13","Drama"
"28",2010-07-14,"The Sorcerer's Apprentice",160000000,63150991,217986320,"Walt Disney","PG","Adventure"
"29",2006-05-12,"Poseidon",160000000,60674817,181674817,"Warner Bros","PG-13","Adventure"
"30",2016-06-10,"Warcraft",160000000,47225655,425547111,"Universal","PG-13","Action"
"31",2018-12-21,"Aquaman",160000000,0,0,"Warner Bros","PG-13","Action"
"32",2016-09-30,"Deepwater Horizon",156000000,61433527,122631306,"Lionsgate","PG-13","Drama"
"33",2015-07-01,"Terminator: Genisys",155000000,89760956,432150894,"Paramount Pictures","PG-13","Action"
"34",2018-03-23,"Pacific Rim: Uprising",155000000,59185715,290241338,"Universal","PG-13","Action"
"35",2004-11-24,"Alexander",155000000,34297191,167297191,"Warner Bros","R","Action"
"36",2017-07-14,"War for the Planet of the Apes",152000000,146880162,489592267,"20th Century Fox","PG-13","Action"
"37",2001-05-25,"Pearl Harbor",151500000,198539855,449239855,"Walt Disney","PG-13","Action"
"38",2007-07-02,"Transformers",151000000,319246193,708272592,"Paramount Pictures","PG-13","Action"
"39",2017-06-02,"Wonder Woman",150000000,412563408,821133378,"Warner Bros","PG-13","Action"
"40",2016-03-04,"Zootopia",150000000,341268248,1019706594,"Walt Disney","PG","Adventure"
"41",2005-11-18,"Harry Potter and the Goblet of Fire",150000000,290013036,896911078,"Warner Bros","PG-13","Adventure"
"42",2003-05-15,"The Matrix Reloaded",150000000,281553689,738576929,"Warner Bros","R","Action"
"43",2007-12-14,"I am Legend",150000000,256393010,585532684,"Warner Bros","PG-13","Horror"
"44",2008-07-01,"Hancock",150000000,227946274,624234272,"Sony Pictures","PG-13","Action"
"45",2005-07-15,"Charlie and the Chocolate Factory",150000000,206459076,475825484,"Warner Bros","PG","Adventure"
"46",2007-06-29,"Ratatouille",150000000,206445654,626549695,"Walt Disney","G","Adventure"
"47",2013-11-08,"Thor: The Dark World",150000000,206362140,644602516,"Walt Disney","PG-13","Action"
"48",2005-06-15,"Batman Begins",150000000,205343774,359142722,"Warner Bros","PG-13","Action"
"49",2015-07-31,"Mission: Impossible€”Rogue Nation",150000000,195042377,689388363,"Paramount Pictures","PG-13","Action"
"50",2017-07-21,"Dunkirk",150000000,190068280,499900860,"Warner Bros","PG-13","Action"
"51",2011-05-06,"Thor",150000000,181030624,449326618,"Paramount Pictures","PG-13","Action"
"52",2008-11-07,"Madagascar: Escape 2 Africa",150000000,180174880,599680774,"Paramount Pictures","PG","Adventure"
"53",2009-05-01,"X-Men Origins: Wolverine",150000000,179883157,374825760,"20th Century Fox","PG-13","Action"
"54",2011-05-26,"Kung Fu Panda 2",150000000,165249063,664837547,"Paramount Pictures","PG","Adventure"
"55",2015-05-15,"Mad Max: Fury Road",150000000,153636354,370651733,"Warner Bros","R","Action"
"56",2018-08-10,"The Meg",150000000,142700791,527100791,"Warner Bros","PG-13","Action"
"57",2003-11-05,"The Matrix Revolutions",150000000,139270910,427300260,"Warner Bros","R","Action"
"58",2018-03-29,"Ready Player One",150000000,137018455,578621729,"Warner Bros","PG-13","Adventure"
"59",2006-05-05,"Mission: Impossible III",150000000,133501348,397501348,"Paramount Pictures","PG-13","Action"
"60",2004-05-14,"Troy",150000000,133298577,484161265,"Warner Bros","R","Action"
"61",2010-07-01,"The Last Airbender",150000000,131772187,319713881,"Paramount Pictures","PG","Adventure"
"62",2007-11-02,"Bee Movie",150000000,126631277,287594577,"Paramount Pictures","PG","Adventure"
"63",2009-07-24,"G-Force",150000000,119436770,292817841,"Walt Disney","PG","Adventure"
"64",2008-11-21,"Bolt",150000000,114053579,328015029,"Walt Disney","PG","Adventure"
"65",2012-03-30,"Wrath of the Titans",150000000,83670083,305270083,"Warner Bros","PG-13","Adventure"
"66",2007-11-16,"Beowulf",150000000,82280579,195080579,"Paramount Pictures","PG-13","Adventure"
"67",2010-02-12,"The Wolfman",150000000,62189884,142634358,"Universal","R","Horror"
"68",2017-02-17,"The Great Wall",150000000,45157105,334550106,"Universal","PG-13","Action"
"69",2015-10-09,"Pan",150000000,35088320,151543635,"Warner Bros","PG","Adventure"
"70",2011-03-11,"Mars Needs Moms",150000000,21392758,39549758,"Walt Disney","PG","Adventure"
"71",2006-11-03,"Flushed Away",149000000,64665672,179357126,"Paramount Pictures","PG","Adventure"
"72",2012-06-08,"Madagascar 3: Europe's Most Wanted",145000000,216391482,746921271,"Paramount Pictures","PG","Adventure"
"73",2014-06-13,"How to Train Your Dragon 2",145000000,177002924,614586270,"20th Century Fox","PG","Adventure"
"74",1999-06-16,"Tarzan",145000000,171091819,448191819,"Walt Disney","G","Adventure"
"75",2014-03-07,"Mr. Peabody & Sherman",145000000,111506430,269806430,"20th Century Fox","PG","Adventure"
"76",2012-11-21,"Rise of the Guardians",145000000,103412758,306900902,"Paramount Pictures","PG","Adventure"
"77",2002-11-22,"Die Another Day",142000000,160942139,431942139,"MGM","PG-13","Action"
"78",2009-05-08,"Star Trek",140000000,257730019,385680446,"Paramount Pictures","PG-13","Adventure"
"79",1998-07-01,"Armageddon",140000000,201578182,554600000,"Walt Disney","PG-13","Adventure"
"80",2002-07-03,"Men in Black 2",140000000,190418803,441767803,"Sony Pictures","PG-13","Action"
"81",2011-07-22,"Captain America: The First Avenger",140000000,176654505,370569776,"Paramount Pictures","PG-13","Action"
"82",2016-01-29,"Kung Fu Panda 3",140000000,143528619,518418751,"20th Century Fox","PG","Adventure"
"83",1998-07-10,"Lethal Weapon 4",140000000,130444603,285400000,"Warner Bros","R","Action"
"84",2013-03-27,"G.I. Joe: Retaliation",140000000,122523060,375740705,"Paramount Pictures","PG-13","Action"
"85",2003-12-05,"The Last Samurai",140000000,111110575,456810575,"Warner Bros","R","Action"
"86",2005-12-21,"Fun With Dick And Jane",140000000,110550000,203018919,"Sony Pictures","PG-13","Comedy"
"87",2014-12-12,"Exodus: Gods and Kings",140000000,65014513,268314513,"20th Century Fox","PG-13","Drama"
"88",2016-07-01,"The BFG",140000000,55483770,199676255,"Walt Disney","PG","Adventure"
"89",2016-02-26,"Gods of Egypt",140000000,31153464,138587563,"Lionsgate","PG-13","Adventure"
"90",2002-05-03,"Spider-Man",139000000,403706375,821706375,"Sony Pictures","PG-13","Adventure"
"91",2009-03-06,"Watchmen",138000000,107509799,186976250,"Warner Bros","R","Action"
"92",2005-07-29,"Stealth",138000000,32116746,76416746,"Sony Pictures","PG-13","Action"
"93",2008-06-13,"The Incredible Hulk",137500000,134806913,265573859,"Universal","PG-13","Adventure"
"94",2003-06-20,"Hulk",137000000,132177234,245075434,"Universal","PG-13","Action"
"95",2001-07-11,"Final Fantasy: The Spirits Within",137000000,32131830,85131830,"Sony Pictures","PG-13","Adventure"
"96",2013-03-22,"The Croods",135000000,187168425,573068425,"20th Century Fox","PG","Adventure"
"97",2015-12-25,"The Revenant",135000000,183637894,532950503,"20th Century Fox","R","Adventure"
"98",1999-11-19,"The World is Not Enough",135000000,126930660,361730660,"MGM","PG-13","Action"
"99",2011-03-04,"Rango",135000000,123477607,245724600,"Paramount Pictures","PG","Adventure"
"100",2013-07-17,"Turbo",135000000,83028130,286896578,"20th Century Fox","PG","Adventure"
"101",2011-11-18,"Happy Feet Two",135000000,64006466,157956466,"Warner Bros","PG","Adventure"
"102",2006-07-28,"Miami Vice",135000000,63478838,163818556,"Universal","R","Action"
"103",2005-06-29,"War of the Worlds",132000000,234280354,606836535,"Paramount Pictures","PG-13","Action"
"104",2014-11-26,"Penguins of Madagascar",132000000,83350911,367650911,"20th Century Fox","PG","Adventure"
"105",2013-11-22,"The Hunger Games: Catching Fire",130000000,424668047,864868047,"Lionsgate","PG-13","Adventure"
"106",2018-07-06,"Ant-Man and the Wasp",130000000,216565229,617176819,"Walt Disney","PG-13","Action"
"107",2008-06-06,"Kung Fu Panda",130000000,215434591,631910531,"Paramount Pictures","PG","Adventure"
"108",2015-07-17,"Ant-Man",130000000,180202163,518860086,"Walt Disney","PG-13","Action"
"109",2015-03-27,"Home",130000000,177397510,386031994,"20th Century Fox","PG","Adventure"
"110",2011-10-28,"Puss in Boots",130000000,149260504,554987477,"Paramount Pictures","PG","Adventure"
"111",2010-11-05,"Megamind",130000000,148415853,321887208,"Paramount Pictures","PG","Adventure"
"112",2003-07-18,"Bad Boys II",130000000,138540870,273271982,"Sony Pictures","R","Action"
"113",2014-04-11,"Rio 2",130000000,131538435,492846291,"20th Century Fox","G","Adventure"
"114",2014-03-28,"Noah",130000000,101200044,352831065,"Paramount Pictures","PG-13","Drama"
"115",2011-12-21,"The Adventures of Tintin",130000000,77591831,373993951,"Paramount Pictures","PG","Adventure"
"116",2013-05-31,"After Earth",130000000,60522097,251499665,"Sony Pictures","PG-13","Action"
"117",2008-11-26,"Australia",130000000,49554002,215080810,"20th Century Fox","PG-13","Drama"
"118",2013-07-19,"R.I.P.D.",130000000,33618855,79076678,"Universal","PG-13","Action"
"119",2000-05-19,"Dinosaur",127500000,137748063,356148063,"Walt Disney","PG","Adventure"
"120",2017-03-03,"Logan",127000000,226277068,615476965,"20th Century Fox","R","Action"
"121",2003-05-02,"X-Men 2",125000000,214949694,406875536,"20th Century Fox","PG-13","Action"
"122",2011-04-29,"Fast Five",125000000,210031325,630163454,"Universal","PG-13","Action"
"123",2011-12-16,"Sherlock Holmes: A Game of Shadows",125000000,186848418,535663443,"Warner Bros","PG-13","Action"
"124",2004-05-28,"The Day After Tomorrow",125000000,186740799,556319450,"20th Century Fox","PG-13","Adventure"
"125",2017-03-31,"The Boss Baby",125000000,175003033,510888357,"20th Century Fox","PG","Adventure"
"126",2010-04-01,"Clash of the Titans",125000000,163214888,493214888,"Warner Bros","PG-13","Action"
"127",2016-11-04,"Trolls",125000000,153707064,344527425,"20th Century Fox","PG","Adventure"
"128",1998-05-19,"Godzilla",125000000,136314294,376000000,"Sony Pictures","PG-13","Action"
"129",2012-06-08,"Prometheus",125000000,126477084,402448265,"20th Century Fox","R","Adventure"
"130",1997-06-20,"Batman & Robin",125000000,107325195,238317814,"Warner Bros","PG-13","Action"
"131",2018-07-13,"Skyscraper",125000000,67796355,304034615,"Universal","PG","Action"
"132",2016-12-21,"Assassin€™s Creed",125000000,54647948,240497948,"20th Century Fox","PG-13","Action"
"133",2017-01-13,"Monster Trucks",125000000,33370166,61642798,"Paramount Pictures","PG-13","Adventure"
"134",1999-08-27,"The 13th Warrior",125000000,32698899,61698899,"Walt Disney","R","Action"
"135",2000-11-17,"How the Grinch Stole Christmas",123000000,260044825,345141403,"Universal","PG","Adventure"
"136",2000-05-24,"Mission: Impossible 2",120000000,215409889,549588516,"Paramount Pictures","PG-13","Action"
"137",2000-06-30,"The Perfect Storm",120000000,182618434,328711434,"Warner Bros","PG-13","Drama"
"138",2016-07-29,"Jason Bourne",120000000,162192920,416197059,"Universal","PG-13","Action"
"139",2012-11-21,"Life of Pi",120000000,124987022,607258634,"20th Century Fox","PG","Drama"
"140",2007-02-16,"Ghost Rider",120000000,115802596,229545589,"Sony Pictures","PG-13","Action"
"141",2003-06-27,"Charlie's Angels: Full Throttle",120000000,100814328,227200000,"Sony Pictures","PG-13","Action"
"142",2018-04-13,"Rampage",120000000,99345950,424745950,"Warner Bros","PG-13","Action"
"143",2013-08-09,"Elysium",120000000,93050117,286192091,"Sony Pictures","R","Action"
"144",2017-03-24,"Power Rangers",120000000,85364450,142545357,"Lionsgate","PG-13","Action"
"145",2002-07-19,"Stuart Little 2",120000000,64956806,166000000,"Sony Pictures","PG","Adventure"
"146",2004-06-11,"The Chronicles of Riddick",120000000,57712751,107212751,"Universal","PG-13","Adventure"
"147",2008-05-09,"Speed Racer",120000000,43945766,93394462,"Warner Bros","PG","Action"
"148",2005-07-22,"The Island",120000000,35818913,163018913,"Dreamworks SKG","PG-13","Action"
"149",2010-06-23,"Knight and Day",117000000,76423035,258751370,"20th Century Fox","PG-13","Action"
"150",1999-05-19,"Star Wars Ep. I: The Phantom Menace",115000000,474544677,1027044677,"20th Century Fox","PG","Adventure"
"151",2001-11-02,"Monsters, Inc.",115000000,289423425,559757719,"Walt Disney","G","Adventure"
"152",2013-07-26,"The Wolverine",115000000,132556852,416456852,"20th Century Fox","PG-13","Action"
"153",1997-02-07,"Dante's Peak",115000000,67163857,178200000,"Universal","PG-13","Drama"
"154",2016-04-22,"The Huntsman: Winter€™s War",115000000,48003015,165149302,"Universal","PG-13","Action"
"155",2002-06-14,"Windtalkers",115000000,40914068,77628265,"MGM","R","Action"
"156",2010-12-25,"Gulliver's Travels",112000000,42779261,232017848,"20th Century Fox","PG","Adventure"
"157",2017-12-15,"Ferdinand",111000000,84410380,289867087,"20th Century Fox","PG","Adventure"
"158",2018-05-18,"Deadpool 2",110000000,318491426,733809601,"20th Century Fox","R","Action"
"159",2006-12-22,"Night at the Museum",110000000,250863268,579446407,"20th Century Fox","PG","Adventure"
"160",2005-06-10,"Mr. and Mrs. Smith",110000000,186336279,486124090,"20th Century Fox","PG-13","Action"
"161",2015-05-29,"San Andreas",110000000,155190832,457199280,"Warner Bros","PG-13","Adventure"
"162",2011-07-29,"The Smurfs",110000000,142614158,563749323,"Sony Pictures","PG","Adventure"
"163",2007-06-27,"Live Free or Die Hard",110000000,134529403,382288147,"20th Century Fox","PG-13","Action"
"164",2015-03-20,"The Divergent Series: Insurgent",110000000,130179072,295075882,"Lionsgate","PG-13","Action"
"165",2004-12-10,"Ocean's Twelve",110000000,125531634,362989076,"Warner Bros","PG-13","Adventure"
"166",1997-12-19,"Tomorrow Never Dies",110000000,125304276,339504276,"MGM","PG-13","Action"
"167",2000-06-28,"The Patriot",110000000,113330342,215300000,"Sony Pictures","R","Drama"
"168",2014-03-07,"300: Rise of an Empire",110000000,106580051,330780051,"Warner Bros","R","Action"
"169",2011-01-14,"The Green Hornet",110000000,98780042,229155503,"Sony Pictures","PG-13","Action"
"170",2011-10-07,"Real Steel",110000000,85463309,263880341,"Walt Disney","PG-13","Action"
"171",2010-06-11,"The A-Team",110000000,77222099,177241171,"20th Century Fox","PG-13","Action"
"172",2013-07-31,"The Smurfs 2",110000000,71017784,348547523,"Sony Pictures","PG","Adventure"
"173",2016-03-18,"The Divergent Series: Allegiant",110000000,66184051,171871661,"Lionsgate","PG-13","Action"
"174",2009-06-12,"The Taking of Pelham 123",110000000,65452312,152364370,"Sony Pictures","R","Action"
"175",2013-11-01,"Ender's Game",110000000,61737191,127983283,"Lionsgate","PG-13","Adventure"
"176",2004-04-02,"Home on the Range",110000000,50026353,76482461,"Walt Disney","PG","Adventure"
"177",1997-06-13,"Speed 2: Cruise Control",110000000,48097081,150468000,"20th Century Fox","PG-13","Action"
"178",2005-05-06,"Kingdom of Heaven",110000000,47398413,218853353,"20th Century Fox","R","Adventure"
"179",2017-03-31,"Ghost in the Shell",110000000,40563557,167918847,"Paramount Pictures","PG-13","Action"
"180",2003-11-21,"The Cat in the Hat",109000000,101018283,133818283,"Universal","PG","Adventure"
"181",2001-12-25,"Ali",109000000,58183966,87683966,"Sony Pictures","R","Drama"
"182",2016-11-23,"Allied",106000000,40098064,119285656,"Paramount Pictures","R","Drama"
"183",2004-07-16,"I, Robot",105000000,144801023,348629585,"20th Century Fox","PG-13","Action"
"184",1999-12-17,"Stuart Little",105000000,140015224,298815224,"Sony Pictures","PG","Adventure"
"185",2009-11-25,"The Princess and the Frog",105000000,104400899,270997378,"Walt Disney","G","Adventure"
"186",2008-03-07,"10,000 B.C.",105000000,94784201,269065678,"Warner Bros","PG-13","Adventure"
"187",2016-07-22,"Ice Age: Collision Course",105000000,64063008,403092412,"20th Century Fox","PG","Adventure"
"188",2017-09-22,"Kingsman: The Golden Circle",104000000,100234838,408822328,"20th Century Fox","R","Action"
"189",2000-06-09,"Gone in 60 Seconds",103300000,101643008,232643008,"Walt Disney","PG-13","Action"
"190",2013-05-23,"The Hangover 3",103000000,112200072,362000072,"Warner Bros","R","Comedy"
"191",2018-03-09,"A Wrinkle in Time",103000000,100478608,133401882,"Walt Disney","PG","Adventure"
"192",2009-07-01,"Public Enemies",102500000,97104620,212282709,"Universal","R","Drama"
"193",2006-11-17,"Casino Royale",102000000,167365000,594420283,"Sony Pictures","PG-13","Action"
"194",2002-06-21,"Minority Report",102000000,132024714,358824714,"20th Century Fox","PG-13","Action"
"195",2012-10-26,"Cloud Atlas",102000000,27108272,130673154,"Warner Bros","R","Drama"
"196",1991-07-02,"Terminator 2: Judgment Day",100000000,203464105,515419827,"Sony Pictures","R","Action"
"197",1995-06-16,"Batman Forever",100000000,184031112,336529144,"Warner Bros","PG-13","Action"
"198",2001-07-27,"Planet of the Apes",100000000,180011740,362211740,"20th Century Fox","PG-13","Adventure"
"199",2004-11-19,"National Treasure",100000000,173005002,331323410,"Walt Disney","PG","Adventure"
"200",2018-10-05,"Venom",100000000,171125095,461825095,"Sony Pictures","PG-13","Action"
"201",2010-12-22,"Little Fockers",100000000,148438600,310650574,"Universal","PG-13","Comedy"
"202",1994-07-15,"True Lies",100000000,146282411,365300000,"20th Century Fox","R","Action"
"203",2007-11-02,"American Gangster",100000000,130164645,267985456,"Universal","R","Drama"
"204",2009-09-18,"Cloudy with a Chance of Meatballs",100000000,124870275,236827677,"Sony Pictures","PG","Adventure"
"205",2010-08-06,"The Other Guys",100000000,119219978,170936470,"Sony Pictures","PG-13","Comedy"
"206",2013-05-24,"Epic",100000000,107518682,262794441,"20th Century Fox","PG","Adventure"
"207",1996-06-21,"Eraser",100000000,101295562,234400000,"Warner Bros","R","Action"
"208",1996-06-21,"The Hunchback of Notre Dame",100000000,100138851,325500000,"Walt Disney","G","Adventure"
"209",2000-12-15,"The Emperor's New Groove",100000000,89296573,169296573,"Walt Disney","G","Adventure"
"210",2012-08-17,"The Expendables 2",100000000,85028192,311979256,"Lionsgate","R","Action"
"211",2009-10-16,"Where the Wild Things Are",100000000,77233467,99123656,"Warner Bros","PG","Adventure"
"212",2006-12-15,"Eragon",100000000,75030163,249488115,"20th Century Fox","PG","Adventure"
"213",2014-07-25,"Hercules",100000000,72688614,243388614,"Paramount Pictures","PG-13","Action"
"214",1999-11-24,"End of Days",100000000,66889043,212026975,"Universal","R","Action"
"215",2004-06-11,"The Stepford Wives",100000000,59475623,96221971,"Paramount Pictures","PG-13","Comedy"
"216",2007-06-08,"Surf's Up",100000000,58867694,145395745,"Sony Pictures","PG","Adventure"
"217",2006-12-08,"Blood Diamond",100000000,57377916,171377916,"Warner Bros","R","Action"
"218",1997-11-07,"Starship Troopers",100000000,54768952,121100000,"Sony Pictures","R","Action"
"219",2009-06-05,"Land of the Lost",100000000,49438370,69548641,"Universal","PG-13","Comedy"
"220",2004-07-23,"Catwoman",100000000,40202379,82145379,"Warner Bros","PG-13","Action"
"221",2014-08-15,"The Expendables 3",100000000,39322544,209461378,"Lionsgate","PG-13","Action"
"222",2002-11-27,"Treasure Planet",100000000,38120554,91800000,"Walt Disney","PG","Adventure"
"223",2010-03-12,"Green Zone",100000000,35497337,97523020,"Universal","R","Drama"
"224",2017-10-20,"Geostorm",100000000,33700160,220800160,"Warner Bros","PG-13","Action"
"225",2015-12-11,"In the Heart of the Sea",100000000,25020758,89693309,"Warner Bros","PG-13","Adventure"
"226",2005-02-18,"Son of the Mask",100000000,17018422,59918422,"New Line","PG","Adventure"
"227",2002-08-16,"The Adventures of Pluto Nash",100000000,4411102,7094995,"Warner Bros","PG-13","Comedy"
"228",2012-01-20,"Jin lÃ­ng shÃ­ san chai",100000000,311434,98227017,"Wrekin Hill Enterta","R","Drama"
"229",2019-03-15,"Wonder Park",100000000,0,0,"Paramount Pictures","PG","Adventure"
"230",2015-11-06,"The Peanuts Movie",99000000,130178411,250091610,"20th Century Fox","G","Adventure"
"231",2001-05-04,"The Mummy Returns",98000000,202007640,435040395,"Universal","PG-13","Adventure"
"232",2002-12-20,"Gangs of New York",97000000,77730500,183124621,"Miramax","R","Drama"
"233",2017-05-19,"Alien: Covenant",97000000,74262031,238521247,"20th Century Fox","R","Horror"
"234",2015-03-13,"Cinderella",95000000,201151353,534551353,"Walt Disney","PG","Drama"
"235",2012-07-13,"Ice Age: Continental Drift",95000000,161321843,879765137,"20th Century Fox","PG","Adventure"
"236",2001-12-28,"Black Hawk Down",95000000,108638745,159691085,"Sony Pictures","R","Action"
"237",2010-05-27,"Sex and the City 2",95000000,95347692,294680778,"Warner Bros","R","Comedy"
"238",2012-08-10,"The Campaign",95000000,86907746,104907746,"Warner Bros","R","Comedy"
"239",2010-11-12,"Unstoppable",95000000,81562942,165720921,"20th Century Fox","PG-13","Action"
"240",1997-05-09,"The Fifth Element",95000000,63570862,263898761,"Sony Pictures","PG-13","Action"
"241",2000-03-31,"The Road to El Dorado",95000000,50802661,65700000,"Dreamworks SKG","PG","Adventure"
"242",2009-12-11,"The Lovely Bones",95000000,44114232,94894448,"Paramount Pictures","PG-13","Drama"
"243",2015-02-06,"Seventh Son",95000000,17725785,109485785,"Universal","PG-13","Adventure"
"244",2003-05-30,"Finding Nemo",94000000,380529370,936429370,"Walt Disney","G","Adventure"
"245",2001-06-15,"Lara Croft: Tomb Raider",94000000,131144183,273330185,"Paramount Pictures","PG-13","Adventure"
"246",2015-02-13,"Kingsman: The Secret Service",94000000,128261724,404561724,"20th Century Fox","R","Action"
"247",2001-07-18,"Jurassic Park III",93000000,181166115,365900000,"Universal","PG-13","Action"
"248",2011-08-05,"Rise of the Planet of the Apes",93000000,176760185,482860185,"20th Century Fox","PG-13","Adventure"
"249",2008-02-14,"The Spiderwick Chronicles",92500000,71195053,162839667,"Paramount Pictures","PG","Adventure"
"250",2004-11-05,"The Incredibles",92000000,261441092,614726752,"Walt Disney","PG","Adventure"
"251",2013-02-14,"A Good Day to Die Hard",92000000,67349198,304249198,"20th Century Fox","R","Action"
"252",1995-12-22,"Cutthroat Island",92000000,10017322,18517322,"MGM","PG-13","Adventure"
"253",2013-12-25,"The Secret Life of Walter Mitty",91000000,58236838,187861183,"20th Century Fox","PG","Adventure"
"254",2017-12-20,"Jumanji: Welcome to the Jungle",90000000,404508916,961758540,"Sony Pictures","PG-13","Adventure"
"255",1997-07-01,"Men in Black",90000000,250690539,587790539,"Sony Pictures","PG-13","Adventure"
"256",1999-11-19,"Toy Story 2",90000000,245852179,511358276,"Walt Disney","G","Adventure"
"257",2001-08-03,"Rush Hour 2",90000000,226164286,347425832,"New Line","PG-13","Action"
"258",2009-12-25,"Sherlock Holmes",90000000,209028679,498438212,"Warner Bros","PG-13","Adventure"
"259",2009-07-01,"Ice Age: Dawn of the Dinosaurs",90000000,196573705,859701857,"20th Century Fox","PG","Adventure"
"260",2011-04-15,"Rio",90000000,143619809,487519809,"20th Century Fox","G","Adventure"
"261",2006-10-06,"The Departed",90000000,132384315,289660619,"Warner Bros","R","Drama"
"262",2000-11-03,"Charlie's Angels",90000000,125305545,259736090,"Sony Pictures","PG-13","Action"
"263",1998-06-19,"Mulan",90000000,120620254,303500000,"Walt Disney","G","Adventure"
"264",2008-08-13,"Tropic Thunder",90000000,110515313,191145256,"Paramount Pictures","R","Comedy"
"265",1997-07-11,"Contact",90000000,100920329,165900000,"Warner Bros","PG","Drama"
"266",2008-06-06,"You Don't Mess With the Zohan",90000000,100018837,202910991,"Sony Pictures","PG-13","Comedy"
"267",1995-05-19,"Die Hard: With a Vengeance",90000000,100012499,366101666,"20th Century Fox","R","Action"
"268",2001-06-08,"Atlantis: The Lost Empire",90000000,84052762,186049020,"Walt Disney","PG","Adventure"
"269",2015-07-24,"Pixels",90000000,78765986,244041804,"Sony Pictures","PG-13","Adventure"
"270",2001-06-29,"Artificial Intelligence: AI",90000000,78616689,235900000,"Warner Bros","PG-13","Drama"
"271",2003-11-26,"The Haunted Mansion",90000000,75817994,155750628,"Walt Disney","PG","Adventure"
"272",2000-08-04,"Hollow Man",90000000,73209340,191200000,"Sony Pictures","R","Horror"
"273",2013-08-07,"Percy Jackson: Sea of Monsters",90000000,68559554,200859554,"20th Century Fox","PG","Adventure"
"274",2001-11-21,"Spy Game",90000000,62362560,143049560,"Universal","R","Action"
"275",1997-04-04,"The Saint",90000000,61363304,169400000,"Paramount Pictures","PG-13","Action"
"276",2000-03-10,"Mission to Mars",90000000,60874615,106000000,"Walt Disney","PG","Adventure"
"277",1999-12-17,"Bicentennial Man",90000000,58220776,87420776,"Walt Disney","PG","Drama"
"278",2018-03-16,"Tomb Raider",90000000,57421715,272648985,"Warner Bros","PG-13","Action"
"279",2004-07-07,"King Arthur",90000000,51877963,203877963,"Walt Disney","PG-13","Adventure"
"280",1997-04-25,"Volcano",90000000,47546796,120100000,"20th Century Fox","PG-13","Action"
"281",2002-07-19,"K-19: The Widowmaker",90000000,35168966,65716126,"Paramount Pictures","PG-13","Action"
"282",2017-04-21,"The Promise",90000000,8224288,10551417,"Open Road","PG-13","Drama"
"283",1996-05-10,"Twister",88000000,241688385,495700000,"Warner Bros","PG-13","Action"
"284",2005-06-03,"Cinderella Man",88000000,61649911,105021488,"Universal","PG-13","Drama"
